player,lastname,team,link_tm,link_ws
Igor Denisov,Denisov,Lokomotiv Moscow,/igor-denisov/profil/spieler/15650,/Players/7245/Show/Igor-Denisov
Roman Tugarev,Tugarev,Lokomotiv Moscow,/roman-tugarev/profil/spieler/289643,/Players/346765/Show/Roman-Tugarev
Éder,Éder,Lokomotiv Moscow,/eder/profil/spieler/84481,/Players/43922/Show/Éder
Brian Idowu,Idowu,Lokomotiv Moscow,/bryan-idowu/profil/spieler/178957,/Players/124454/Show/Brian-Idowu
Vedran Corluka,Corluka,Lokomotiv Moscow,/vedran-corluka/profil/spieler/34393,/Players/22040/Show/Vedran-Corluka
Mikhail Lysov,Lysov,Lokomotiv Moscow,/mikhail-lysov/profil/spieler/289590,/Players/321213/Show/Mikhail-Lysov
Khvicha Kvaratskhelia,Kvaratskhelia,Lokomotiv Moscow,/khvicha-kvaratskhelia/profil/spieler/502670,/Players/370984/Show/Khvicha-Kvaratskhelia
Rifat Zhemaletdinov,Zhemaletdinov,Lokomotiv Moscow,/rifat-zhemaletdinov/profil/spieler/267383,/Players/303498/Show/Rifat-Zhemaletdinov
Jefferson Farfán,Farfán,Lokomotiv Moscow,/jefferson-farfan/profil/spieler/16649,/Players/5725/Show/Jefferson-Farfán
Fedor Smolov,Smolov,Lokomotiv Moscow,/fedor-smolov/profil/spieler/50355,/Players/38190/Show/Fedor-Smolov
Manuel Fernandes,Fernandes,Lokomotiv Moscow,/manuel-fernandes/profil/spieler/16791,/Players/12476/Show/Manuel-Fernandes
Okan Kocuk,Kocuk,Bursaspor,/okan-kocuk/profil/spieler/204189,/Players/110517/Show/Okan-Kocuk
Ertugrul Ersoy,Ersoy,Bursaspor,/ertugrul-ersoy/profil/spieler/251079,/Players/136471/Show/Ertugrul-Ersoy
Aurélien Chedjou,Chedjou,Bursaspor,/aurelien-chedjou/profil/spieler/45624,/Players/31713/Show/Aurélien-Chedjou
Umut Meras,Meras,Bursaspor,/umut-meras/profil/spieler/341549,/Players/363098/Show/Umut-Meras
Baris Yardimci,Yardimci,Bursaspor,/baris-yardimci/profil/spieler/91948,/Players/239850/Show/Baris-Yardimci
Stéphane Badji,Badji,Bursaspor,/stephane-badji/profil/spieler/208505,/Players/111183/Show/Stéphane-Badji
Abdullahi Shehu,Shehu,Bursaspor,/abdullahi-shehu/profil/spieler/262687,/Players/143332/Show/Abdullahi-Shehu
Ramazan Keskin,Keskin,Bursaspor,/ramazan-keskin/profil/spieler/330839,/Players/361845/Show/Ramazan-Keskin
