link,nationality,minutes,agent
/juan-foyth/profil/spieler/480763,Argentina,180,Primotempo
/eder/profil/spieler/37418,Italy,1529,TMP SOCCER srl
/diogo-leite/profil/spieler/357156,Portugal,373,Onsoccer
/kyle-vassell/profil/spieler/293002,Northern Ireland,32,Elite Management ...
/laurent-ciman/profil/spieler/22338,Belgium,1493,no agent
/kik-pierie/profil/spieler/361207,Netherlands,787,Soccer Vision BV
/richard-magyar/profil/spieler/148727,Sweden,0,Global Soccer ...
/arthur/profil/spieler/362842,Brazil,479,No agent
/vincent-laurini/profil/spieler/94936,France,0,M.A.R.A.T. Football ...
/danilo-silva/profil/spieler/61952,Brazil,0,DBSports
/osvaldo-alonso/profil/spieler/62810,Cuba,1261,SR All Stars
/tobias-mohr/profil/spieler/153661,Germany,0,KL Sportsbase
/hee-chan-hwang/profil/spieler/292246,"Korea, South",0,Sports United GmbH
/lautaro-guzman/profil/spieler/626916,Argentina,0,No agent
/martin-skrtel/profil/spieler/24180,Slovakia,8383,Stars & Friends
/julian-pollersbeck/profil/spieler/228975,Germany,615,Rummenigge Sport ...
/deni-milosevic/profil/spieler/168163,Bosnia-Herzegovina,133,aidentity
/ze-luis/profil/spieler/134602,Cape Verde,846,FOOT EXPANSION
/mathias-normann/profil/spieler/257805,Norway,0,BHM Sports Agency
/timo-werner/profil/spieler/170527,Germany,1728,Karlheinz Förster
/ismael-quilez/profil/spieler/91360,Argentina,69,no agent
/beram-kayal/profil/spieler/44741,Israel,2595,Stellar Football Ltd
/valter-birsa/profil/spieler/26105,Slovenia,5528,P&P Sport ...
/alex-muyl/profil/spieler/413690,United States,0,No agent
/romain-genevois/profil/spieler/57525,Haiti,824,PRO PLAYERS ASSOCIES
/mohamed-elneny/profil/spieler/160438,Egypt,5626,Base Soccer Agency ...
/tom-davies/profil/spieler/314210,England,783,No agent
/sam-vines/profil/spieler/535282,United States,0,Octagon
/albert-rusnak/profil/spieler/43228,Slovakia,1073,Benchmark Sports ...
/enrique-borja/profil/spieler/417326,Paraguay,0,No agent
/marcus-thuram/profil/spieler/318528,France,506,No agent
/robert-andrich/profil/spieler/159088,Germany,27,teamplayer ...
/zac-macmath/profil/spieler/156300,United States,270,WMG
/sven-braken/profil/spieler/185400,Netherlands,0,Soccer-Solutions
/okechukwu-azubuike/profil/spieler/386126,Nigeria,26,not clarified
/michael-brouwer/profil/spieler/231650,Netherlands,0,No agent
/egor-baburin/profil/spieler/146918,Russia,450,prosm
/sadio-mane/profil/spieler/200512,Senegal,4520,arena11 sports group
/kristofer-kristinsson/profil/spieler/400174,Iceland,0,Total Football
/evens-joseph/profil/spieler/593320,France,0,MDC Advisors
/lukas-kubler/profil/spieler/93604,Germany,0,Coaches & More GmbH
/marvin-plattenhardt/profil/spieler/89592,Germany,476,Briem Soccer ...
/emerson-hyndman/profil/spieler/223047,United States,67,Stellar Football Ltd
/darwin-quintero/profil/spieler/55666,Colombia,479,EURODATA SPORT
/manuel-castro/profil/spieler/335984,Uruguay,0,No agent
/wilson-kamavuaka/profil/spieler/55512,DR Congo,0,MK Sport Consulting
/jese/profil/spieler/134936,Spain,114,Ginés Carvajal
/marco-dalessandro/profil/spieler/99232,Italy,544,GP Soccer and ...
/lucas-vazquez/profil/spieler/221316,Spain,301,Ginés Carvajal
/yekta-kurtulus/profil/spieler/63204,Turkey,97,Golden Foot ...
/raul-guti/profil/spieler/330352,Spain,0,No agent
/abdul-aziz-tetteh/profil/spieler/157003,Ghana,0,Fabryka Futbolu
