link,search,results
/rajko-rotman/profil/spieler/100303,Rajko+Rotman+Akhisarspor,30700
/michael-murillo/profil/spieler/354482,Michael+Murillo+New+York+Red+Bulls,705000
/platiny/profil/spieler/248901,Platiny+Chaves,64400
/kekuta-manneh/profil/spieler/253053,Kekuta+Manneh+FC+Cincinnati,26200
/said-benrahma/profil/spieler/290532,Said+Benrahma+Brentford,76600
/daryl-murphy/profil/spieler/31312,Daryl+Murphy+Nottingham+Forest,383000
/anwar-el-ghazi/profil/spieler/183720,Anwar+El+Ghazi+Aston+Villa,283000
/mickey-van-der-hart/profil/spieler/207048,Mickey+van+der+Hart+PEC+Zwolle,180000
/jordan-morris/profil/spieler/337807,Jordan+Morris+Seattle+Sounders+FC,335000
/clinton-njie/profil/spieler/241119,Clinton+N'Jie+Marseille,117000
/santi-comesana/profil/spieler/380598,Santiago+Comesaña+Rayo+Vallecano,57800
/onur-ayik/profil/spieler/52006,Onur+Ayik+Akhisarspor,40800
/rodrigo-battaglia/profil/spieler/89297,Rodrigo+Battaglia+Sporting+CP,127000
/ih-yeong-park/profil/spieler/307397,Yiyoung+Park+St.+Pauli,55900
/welinton/profil/spieler/95152,Welinton+Alanyaspor,430000
/antonio-mirante/profil/spieler/22141,Antonio+Mirante+Roma,1040000
/dominic-samuel/profil/spieler/203784,Dominic+Samuel+Blackburn,1320000
/dogukan-sinik/profil/spieler/370833,Dogukan+Sinik+Antalyaspor,51000
