current_value,highest_value,last_team,prev_team,prev_prev_team,link,value_loss,current_log,double_trans
450000,540000,Montreal Impact,River Plate II,Montreal Impact,/victor-cabrera/profil/spieler/353463,-90000,13.017002861746503,2.5662564153311536
540000,540000,Parma,Trapani,Atalanta,/matteo-scozzarella/profil/spieler/85208,0,13.199324418540456,2.580165647868961
4500000,4500000,Wolves,Norwich,Peterborough,/ryan-bennett/profil/spieler/67252,0,15.319587954740548,2.72913226804608
135000,135000,Brentford,Brentford B,AC Horsens,/mads-bech-sorensen/profil/spieler/372240,0,11.813030057420567,2.469203164398985
9000000,9000000,TSG Hoffenheim,SC Freiburg,SC Freiburg U19,/oliver-baumann/profil/spieler/55089,0,16.012735135300492,2.773384351599064
2700000,6300000,Trabzonspor,Lazio,Lazio U19,/ogenyi-onazi/profil/spieler/131709,-3600000,14.808762330974558,2.6952190549681467
5400000,5400000,SCO Angers,Tours FC,Tours B,/baptiste-santamaria/profil/spieler/285323,0,15.501909511534503,2.740963210629956
900000,1350000,CD Leganés,Granada CF,CD Leganés,/fede-vico/profil/spieler/162079,-450000,13.710150042306449,2.6181364375191847
630000,630000,Nacional,Celta Vigo B,Nacional,/joao-camacho/profil/spieler/268732,0,13.353475098367715,2.5917766579661077
31500000,31500000,SSC Napoli,Ajax,Bay. Leverkusen,/arkadiusz-milik/profil/spieler/191891,0,17.26549810379586,2.84871018092077
1350000,1800000,Sporting CP,Braga,Sporting CP,/joao-palhinha/profil/spieler/257455,-450000,14.115615150414612,2.647281642081681
